Registro 1, valor 2
Registro 2, valor 4
Registro 3, valor 6
Registro 4, valor 8
Registro 5, valor 10
Registro 6, valor 12
Registro 7, valor 14
Registro 8, valor 16
Registro 9, valor 18
Registro 10, valor 20
Registro 11, valor 22
Registro 12, valor 24
Registro 13, valor 26
Registro 14, valor 28
Registro 15, valor 30
Registro 16, valor 32
Registro 17, valor 34
Registro 18, valor 36
Registro 19, valor 38
Registro 20, valor 40
Registro 21, valor 42
Registro 22, valor 44
Registro 23, valor 46
Registro 24, valor 48
Registro 25, valor 50
Registro 26, valor 52
Registro 27, valor 54
Registro 28, valor 56
Registro 29, valor 58
Registro 30, valor 60
Registro 31, valor 62
Registro 32, valor 64
Registro 33, valor 66
Registro 34, valor 68
Registro 35, valor 70
Registro 36, valor 72
Registro 37, valor 74
Registro 38, valor 76
Registro 39, valor 78
Registro 40, valor 80
Registro 41, valor 82
Registro 42, valor 999
Registro 43, valor 86
Registro 44, valor 88
Registro 45, valor 90
Registro 46, valor 92
Registro 47, valor 94
Registro 48, valor 96
Registro 49, valor 98
Registro 50, valor 100
